timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1485111619115,175,Petición HTTP,502,Bad Gateway,Alcaldia 1-361,text,false,,155,191,406,406,175,0,41
1485111619115,175,Petición HTTP,502,Bad Gateway,Alcaldia 1-366,text,false,,155,191,406,406,175,0,44
1485111619094,196,Petición HTTP,502,Bad Gateway,Alcaldia 1-345,text,false,,155,191,406,406,196,0,46
1485111619096,194,Petición HTTP,502,Bad Gateway,Alcaldia 1-350,text,false,,155,191,405,405,194,0,44
1485111619098,193,Petición HTTP,502,Bad Gateway,Alcaldia 1-351,text,false,,155,191,403,403,193,0,42
1485111619115,178,Petición HTTP,502,Bad Gateway,Alcaldia 1-360,text,false,,155,191,403,403,178,0,40
1485111619115,178,Petición HTTP,502,Bad Gateway,Alcaldia 1-367,text,false,,155,191,403,403,178,0,44
1485111619105,189,Petición HTTP,502,Bad Gateway,Alcaldia 1-358,text,false,,155,191,403,403,189,0,51
1485111619116,178,Petición HTTP,502,Bad Gateway,Alcaldia 1-368,text,false,,155,191,403,403,178,0,43
1485111619117,183,Petición HTTP,502,Bad Gateway,Alcaldia 1-369,text,false,,155,191,404,404,183,0,43
1485111619116,184,Petición HTTP,502,Bad Gateway,Alcaldia 1-359,text,false,,155,191,404,404,184,0,45
1485111619119,182,Petición HTTP,502,Bad Gateway,Alcaldia 1-371,text,false,,155,191,403,403,182,0,51
1485111619115,186,Petición HTTP,502,Bad Gateway,Alcaldia 1-362,text,false,,155,191,403,403,186,0,40
1485111619116,185,Petición HTTP,502,Bad Gateway,Alcaldia 1-365,text,false,,155,191,403,403,185,0,45
1485111619111,190,Petición HTTP,502,Bad Gateway,Alcaldia 1-363,text,false,,155,191,401,401,190,0,50
1485111619138,186,Petición HTTP,502,Bad Gateway,Alcaldia 1-386,text,false,,155,191,420,420,186,0,50
1485111619138,186,Petición HTTP,502,Bad Gateway,Alcaldia 1-387,text,false,,155,191,420,420,186,0,53
1485111619135,189,Petición HTTP,502,Bad Gateway,Alcaldia 1-385,text,false,,155,191,420,420,189,0,55
1485111619131,199,Petición HTTP,502,Bad Gateway,Alcaldia 1-382,text,false,,155,191,421,421,199,0,39
1485111619130,201,Petición HTTP,502,Bad Gateway,Alcaldia 1-381,text,false,,155,191,422,422,201,0,40
1485111619129,202,Petición HTTP,502,Bad Gateway,Alcaldia 1-378,text,false,,155,191,422,422,202,0,41
1485111619118,214,Petición HTTP,502,Bad Gateway,Alcaldia 1-370,text,false,,155,191,422,422,213,0,52
1485111619132,200,Petición HTTP,502,Bad Gateway,Alcaldia 1-383,text,false,,155,191,422,422,200,0,38
1485111619134,198,Petición HTTP,502,Bad Gateway,Alcaldia 1-384,text,false,,155,191,422,422,198,0,36
1485111619156,176,Petición HTTP,502,Bad Gateway,Alcaldia 1-404,text,false,,155,191,422,422,176,0,35
1485111619130,202,Petición HTTP,502,Bad Gateway,Alcaldia 1-379,text,false,,155,191,422,422,202,0,40
1485111619139,193,Petición HTTP,502,Bad Gateway,Alcaldia 1-389,text,false,,155,191,422,422,193,0,52
1485111619162,171,Petición HTTP,502,Bad Gateway,Alcaldia 1-410,text,false,,155,191,420,420,171,0,49
1485111619159,174,Petición HTTP,502,Bad Gateway,Alcaldia 1-406,text,false,,155,191,420,420,174,0,32
1485111619165,168,Petición HTTP,502,Bad Gateway,Alcaldia 1-412,text,false,,155,191,420,420,168,0,46
1485111619160,174,Petición HTTP,502,Bad Gateway,Alcaldia 1-408,text,false,,155,191,418,418,174,0,51
1485111619158,178,Petición HTTP,502,Bad Gateway,Alcaldia 1-405,text,false,,155,191,419,419,178,0,39
