timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1485115916259,4614,Petición HTTP,200,OK,Alcaldia 1-3,text,true,,77104,195,50,50,4430,0,28
1485115916541,4463,Petición HTTP,200,OK,Alcaldia 1-17,text,true,,77104,195,49,49,4283,0,25
1485115916521,4535,Petición HTTP,200,OK,Alcaldia 1-16,text,true,,77104,195,48,48,4299,0,26
1485115916239,4885,Petición HTTP,200,OK,Alcaldia 1-2,text,true,,77104,195,47,47,4620,0,43
1485115916642,4569,Petición HTTP,200,OK,Alcaldia 1-22,text,true,,77104,195,46,46,4316,0,31
1485115916621,5089,Petición HTTP,200,OK,Alcaldia 1-21,text,true,,77104,195,45,45,4855,0,21
1485115916299,5601,Petición HTTP,200,OK,Alcaldia 1-5,text,true,,77104,195,44,44,5393,0,25
1485115916581,5354,Petición HTTP,200,OK,Alcaldia 1-19,text,true,,77104,195,43,43,5084,0,30
1485115916561,5405,Petición HTTP,200,OK,Alcaldia 1-18,text,true,,77104,195,42,42,5141,0,26
1485115916219,5779,Petición HTTP,200,OK,Alcaldia 1-1,text,true,,77104,195,41,41,5527,0,67
1485115916279,5897,Petición HTTP,200,OK,Alcaldia 1-4,text,true,,77104,195,40,40,5565,0,25
1485115916601,5578,Petición HTTP,200,OK,Alcaldia 1-20,text,true,,77104,195,39,39,5273,0,25
1485115916360,7262,Petición HTTP,200,OK,Alcaldia 1-8,text,true,,77104,195,38,38,7031,0,26
1485115916722,6998,Petición HTTP,200,OK,Alcaldia 1-26,text,true,,77104,195,37,37,6730,0,26
1485115916942,6830,Petición HTTP,200,OK,Alcaldia 1-37,text,true,,77104,195,36,36,6514,0,29
1485115916319,7463,Petición HTTP,200,OK,Alcaldia 1-6,text,true,,77104,195,35,35,7199,0,30
1485115916501,7772,Petición HTTP,200,OK,Alcaldia 1-15,text,true,,77104,195,34,34,7050,0,25
1485115916822,7520,Petición HTTP,200,OK,Alcaldia 1-31,text,true,,77104,195,33,33,6924,0,30
1485115916461,8110,Petición HTTP,200,OK,Alcaldia 1-13,text,true,,77104,195,32,32,7322,0,25
1485115917123,7639,Petición HTTP,200,OK,Alcaldia 1-46,text,true,,77104,195,31,31,6758,0,26
1485115916962,7928,Petición HTTP,200,OK,Alcaldia 1-38,text,true,,77104,195,30,30,6963,0,24
1485115916922,8065,Petición HTTP,200,OK,Alcaldia 1-36,text,true,,77104,195,29,29,7186,0,36
1485115916742,8245,Petición HTTP,200,OK,Alcaldia 1-27,text,true,,77104,195,29,29,6958,0,26
1485115917163,7839,Petición HTTP,200,OK,Alcaldia 1-48,text,true,,77104,195,27,27,6875,0,24
1485115916340,8679,Petición HTTP,200,OK,Alcaldia 1-7,text,true,,77104,195,26,26,7528,0,24
1485115917002,8069,Petición HTTP,200,OK,Alcaldia 1-40,text,true,,77104,195,25,25,6907,0,29
1485115916802,8318,Petición HTTP,200,OK,Alcaldia 1-30,text,true,,77104,195,24,24,7072,0,24
1485115916702,8488,Petición HTTP,200,OK,Alcaldia 1-25,text,true,,77104,195,23,23,6907,0,28
1485115917083,8120,Petición HTTP,200,OK,Alcaldia 1-44,text,true,,77104,195,22,22,6854,0,25
1485115917043,8221,Petición HTTP,200,OK,Alcaldia 1-42,text,true,,77104,195,21,21,6619,0,29
1485115916762,8557,Petición HTTP,200,OK,Alcaldia 1-28,text,true,,77104,195,20,20,6959,0,28
1485115916982,8391,Petición HTTP,200,OK,Alcaldia 1-39,text,true,,77104,195,19,19,6694,0,32
1485115917203,8181,Petición HTTP,200,OK,Alcaldia 1-50,text,true,,77104,195,18,18,6829,0,26
1485115917143,8259,Petición HTTP,200,OK,Alcaldia 1-47,text,true,,77104,195,17,17,6770,0,26
1485115916882,8530,Petición HTTP,200,OK,Alcaldia 1-34,text,true,,77104,195,16,16,6868,0,27
1485115916481,8935,Petición HTTP,200,OK,Alcaldia 1-14,text,true,,77104,195,15,15,7452,0,37
1485115916380,9039,Petición HTTP,200,OK,Alcaldia 1-9,text,true,,77104,195,14,14,7548,0,30
1485115917022,8457,Petición HTTP,200,OK,Alcaldia 1-41,text,true,,77104,195,13,13,6784,0,26
1485115917183,8330,Petición HTTP,200,OK,Alcaldia 1-49,text,true,,77104,195,12,12,6684,0,31
1485115916441,9130,Petición HTTP,200,OK,Alcaldia 1-12,text,true,,77104,195,11,11,7805,0,32
1485115916902,8685,Petición HTTP,200,OK,Alcaldia 1-35,text,true,,77104,195,10,10,7139,0,29
1485115916662,8927,Petición HTTP,200,OK,Alcaldia 1-23,text,true,,77104,195,9,9,7408,0,24
1485115916682,8922,Petición HTTP,200,OK,Alcaldia 1-24,text,true,,77104,195,8,8,7329,0,26
1485115917103,8504,Petición HTTP,200,OK,Alcaldia 1-45,text,true,,77104,195,7,7,6790,0,30
1485115916782,8841,Petición HTTP,200,OK,Alcaldia 1-29,text,true,,77104,195,6,6,7526,0,26
1485115916842,8783,Petición HTTP,200,OK,Alcaldia 1-32,text,true,,77104,195,5,5,7185,0,26
1485115917063,8605,Petición HTTP,200,OK,Alcaldia 1-43,text,true,,77104,195,4,4,6998,0,27
1485115916862,8873,Petición HTTP,200,OK,Alcaldia 1-33,text,true,,77104,195,3,3,7092,0,28
1485115916421,9633,Petición HTTP,200,OK,Alcaldia 1-11,text,true,,77104,195,2,2,7587,0,25
1485115916401,10971,Petición HTTP,200,OK,Alcaldia 1-10,text,true,,77104,195,1,1,10591,0,25
