timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1485111387501,10567,Petición HTTP,200,OK,Alcaldia 1-3,text,true,,77104,191,200,200,10400,0,83
1485111387602,11996,Petición HTTP,200,OK,Alcaldia 1-23,text,true,,77104,191,199,199,11838,0,30
1485111387612,12098,Petición HTTP,200,OK,Alcaldia 1-25,text,true,,77104,191,198,198,11879,0,30
1485111387526,12204,Petición HTTP,200,OK,Alcaldia 1-8,text,true,,77104,191,197,197,12001,0,61
1485111387567,12210,Petición HTTP,200,OK,Alcaldia 1-16,text,true,,77104,191,196,196,11984,0,25
1485111387630,12175,Petición HTTP,200,OK,Alcaldia 1-28,text,true,,77104,191,195,195,11934,0,24
1485111387762,12214,Petición HTTP,200,OK,Alcaldia 1-54,text,true,,77104,191,194,194,11990,0,31
1485111387680,12372,Petición HTTP,200,OK,Alcaldia 1-38,text,true,,77104,191,193,193,12197,0,36
1485111387617,12497,Petición HTTP,200,OK,Alcaldia 1-26,text,true,,77104,191,192,192,12279,0,30
1485111387914,12337,Petición HTTP,200,OK,Alcaldia 1-84,text,true,,77104,191,191,191,12121,0,32
1485111387894,12447,Petición HTTP,200,OK,Alcaldia 1-80,text,true,,77104,191,190,190,12157,0,27
1485111387853,12509,Petición HTTP,200,OK,Alcaldia 1-72,text,true,,77104,191,189,189,12206,0,35
1485111387919,12618,Petición HTTP,200,OK,Alcaldia 1-85,text,true,,77104,191,188,188,12219,0,25
1485111387582,12958,Petición HTTP,200,OK,Alcaldia 1-19,text,true,,77104,191,187,187,12555,0,27
1485111387716,13448,Petición HTTP,200,OK,Alcaldia 1-45,text,true,,77104,191,186,186,12647,0,30
1485111387995,13202,Petición HTTP,404,Not Found,Alcaldia 1-100,text,false,,640,428,185,185,6192,0,32
1485111388010,13190,Petición HTTP,404,Not Found,Alcaldia 1-103,text,false,,640,428,184,184,6310,0,26
1485111388005,13197,Petición HTTP,404,Not Found,Alcaldia 1-102,text,false,,640,428,183,183,6326,0,25
1485111387985,13218,Petición HTTP,404,Not Found,Alcaldia 1-98,text,false,,640,428,182,182,6228,0,29
1485111388015,13188,Petición HTTP,404,Not Found,Alcaldia 1-104,text,false,,640,428,182,182,6451,0,34
1485111388025,13180,Petición HTTP,404,Not Found,Alcaldia 1-106,text,false,,640,428,180,180,6599,0,32
1485111388046,13166,Petición HTTP,404,Not Found,Alcaldia 1-110,text,false,,640,428,179,179,6842,0,53
1485111388035,13177,Petición HTTP,404,Not Found,Alcaldia 1-108,text,false,,640,428,179,179,6704,0,29
1485111388091,13122,Petición HTTP,404,Not Found,Alcaldia 1-119,text,false,,640,428,178,178,7654,0,174
1485111388056,13157,Petición HTTP,404,Not Found,Alcaldia 1-112,text,false,,640,428,176,176,6893,0,43
1485111388101,13113,Petición HTTP,404,Not Found,Alcaldia 1-121,text,false,,640,428,175,175,7468,0,163
1485111388096,13118,Petición HTTP,404,Not Found,Alcaldia 1-120,text,false,,640,428,175,175,7649,0,169
1485111388061,13153,Petición HTTP,404,Not Found,Alcaldia 1-113,text,false,,640,428,175,175,7508,0,38
1485111388113,13101,Petición HTTP,404,Not Found,Alcaldia 1-123,text,false,,640,428,174,174,7770,0,153
1485111388122,13097,Petición HTTP,404,Not Found,Alcaldia 1-125,text,false,,640,428,171,171,7761,0,144
1485111388193,13028,Petición HTTP,404,Not Found,Alcaldia 1-139,text,false,,640,428,170,170,8050,0,88
1485111388213,13008,Petición HTTP,404,Not Found,Alcaldia 1-143,text,false,,640,428,170,170,8234,0,68
1485111388218,13003,Petición HTTP,404,Not Found,Alcaldia 1-144,text,false,,640,428,170,170,9180,0,64
1485111388188,13033,Petición HTTP,404,Not Found,Alcaldia 1-138,text,false,,640,428,170,170,8118,0,93
1485111388180,13041,Petición HTTP,404,Not Found,Alcaldia 1-136,text,false,,640,428,166,166,8182,0,101
1485111388229,12992,Petición HTTP,404,Not Found,Alcaldia 1-146,text,false,,640,428,166,166,8997,0,53
1485111388167,13070,Petición HTTP,404,Not Found,Alcaldia 1-134,text,false,,640,428,164,164,9699,0,116
1485111388254,12995,Petición HTTP,404,Not Found,Alcaldia 1-151,text,false,,640,428,163,163,10035,0,63
1485111388066,13183,Petición HTTP,404,Not Found,Alcaldia 1-114,text,false,,640,428,163,163,10039,0,33
1485111388279,12971,Petición HTTP,404,Not Found,Alcaldia 1-156,text,false,,640,428,162,162,10388,0,46
1485111388274,12976,Petición HTTP,404,Not Found,Alcaldia 1-155,text,false,,640,428,162,162,10239,0,51
1485111388294,12955,Petición HTTP,404,Not Found,Alcaldia 1-159,text,false,,640,428,160,160,10771,0,39
1485111388299,12951,Petición HTTP,404,Not Found,Alcaldia 1-160,text,false,,640,428,160,160,10914,0,34
1485111388284,12966,Petición HTTP,404,Not Found,Alcaldia 1-157,text,false,,640,428,157,157,10544,0,48
1485111388264,12987,Petición HTTP,404,Not Found,Alcaldia 1-153,text,false,,640,428,157,157,10035,0,53
1485111387823,13433,Petición HTTP,200,OK,Alcaldia 1-66,text,true,,77104,191,155,155,12374,0,25
1485111388289,12997,Petición HTTP,404,Not Found,Alcaldia 1-158,text,false,,640,428,154,154,11060,0,44
1485111388345,12956,Petición HTTP,404,Not Found,Alcaldia 1-169,text,false,,640,428,153,153,11689,0,26
1485111387557,13953,Petición HTTP,200,OK,Alcaldia 1-14,text,true,,77104,191,152,152,12795,0,30
1485111387889,13668,Petición HTTP,200,OK,Alcaldia 1-79,text,true,,77104,191,151,151,12519,0,24
1485111387848,13713,Petición HTTP,200,OK,Alcaldia 1-71,text,true,,77104,191,150,150,12415,0,23
1485111387521,14211,Petición HTTP,200,OK,Alcaldia 1-7,text,true,,77104,191,149,149,13235,0,66
1485111387731,14191,Petición HTTP,200,OK,Alcaldia 1-48,text,true,,77104,191,148,148,12861,0,31
1485111387746,14473,Petición HTTP,200,OK,Alcaldia 1-51,text,true,,77104,191,147,147,13018,0,27
1485111387516,14712,Petición HTTP,200,OK,Alcaldia 1-6,text,true,,77104,191,146,146,12712,0,71
1485111387607,14719,Petición HTTP,200,OK,Alcaldia 1-24,text,true,,77104,191,145,145,13021,0,25
1485111387813,14623,Petición HTTP,200,OK,Alcaldia 1-64,text,true,,77104,191,144,144,12454,0,30
1485111387645,14795,Petición HTTP,200,OK,Alcaldia 1-31,text,true,,77104,191,143,143,13026,0,32
1485111387960,14541,Petición HTTP,200,OK,Alcaldia 1-93,text,true,,77104,191,142,142,12786,0,30
1485111387490,15026,Petición HTTP,200,OK,Alcaldia 1-1,text,true,,77104,191,141,141,12903,0,91
1485111387554,15116,Petición HTTP,200,OK,Alcaldia 1-13,text,true,,77104,191,140,140,13835,0,31
1485111387787,14905,Petición HTTP,200,OK,Alcaldia 1-59,text,true,,77104,191,139,139,13734,0,23
1485111387899,14855,Petición HTTP,200,OK,Alcaldia 1-81,text,true,,77104,191,138,138,13287,0,27
1485111387883,14973,Petición HTTP,200,OK,Alcaldia 1-78,text,true,,77104,191,137,137,12667,0,25
1485111387495,15475,Petición HTTP,200,OK,Alcaldia 1-2,text,true,,77104,191,136,136,13662,0,92
