timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1485111531728,66,Petición HTTP,502,Bad Gateway,Alcaldia 1-216,text,false,,155,191,248,248,66,0,32
1485111531730,69,Petición HTTP,502,Bad Gateway,Alcaldia 1-218,text,false,,155,191,248,248,69,0,31
1485111531734,65,Petición HTTP,502,Bad Gateway,Alcaldia 1-220,text,false,,155,191,248,248,65,0,30
1485111531732,68,Petición HTTP,502,Bad Gateway,Alcaldia 1-219,text,false,,155,191,248,248,68,0,33
1485111531740,60,Petición HTTP,502,Bad Gateway,Alcaldia 1-222,text,false,,155,191,248,248,60,0,24
1485111531721,79,Petición HTTP,502,Bad Gateway,Alcaldia 1-214,text,false,,155,191,248,248,79,0,31
1485111531724,76,Petición HTTP,502,Bad Gateway,Alcaldia 1-215,text,false,,155,191,248,248,76,0,29
1485111531736,68,Petición HTTP,502,Bad Gateway,Alcaldia 1-221,text,false,,155,191,246,246,68,0,29
1485111531744,62,Petición HTTP,502,Bad Gateway,Alcaldia 1-223,text,false,,155,191,245,245,62,0,30
1485111531749,58,Petición HTTP,502,Bad Gateway,Alcaldia 1-227,text,false,,155,191,245,245,58,0,26
1485111531744,64,Petición HTTP,502,Bad Gateway,Alcaldia 1-224,text,false,,155,191,245,245,64,0,30
1485111531747,62,Petición HTTP,502,Bad Gateway,Alcaldia 1-225,text,false,,155,191,244,244,62,0,28
1485111531747,65,Petición HTTP,502,Bad Gateway,Alcaldia 1-226,text,false,,155,191,245,245,65,0,29
1485111531756,66,Petición HTTP,502,Bad Gateway,Alcaldia 1-230,text,false,,155,191,248,248,66,0,26
1485111531751,71,Petición HTTP,502,Bad Gateway,Alcaldia 1-228,text,false,,155,191,248,248,71,0,26
1485111531760,63,Petición HTTP,502,Bad Gateway,Alcaldia 1-232,text,false,,155,191,247,247,63,0,22
1485111531760,63,Petición HTTP,502,Bad Gateway,Alcaldia 1-231,text,false,,155,191,247,247,63,0,22
1485111531753,70,Petición HTTP,502,Bad Gateway,Alcaldia 1-229,text,false,,155,191,247,247,70,0,29
1485111531766,68,Petición HTTP,502,Bad Gateway,Alcaldia 1-235,text,false,,155,191,249,249,68,0,26
1485111531763,73,Petición HTTP,502,Bad Gateway,Alcaldia 1-233,text,false,,155,191,249,249,73,0,30
1485111531764,72,Petición HTTP,502,Bad Gateway,Alcaldia 1-234,text,false,,155,191,249,249,72,0,29
1485111531773,67,Petición HTTP,502,Bad Gateway,Alcaldia 1-238,text,false,,155,191,249,249,67,0,24
1485111531770,71,Petición HTTP,502,Bad Gateway,Alcaldia 1-237,text,false,,155,191,248,248,71,0,27
1485111531768,73,Petición HTTP,502,Bad Gateway,Alcaldia 1-236,text,false,,155,191,247,247,73,0,26
1485111531774,67,Petición HTTP,502,Bad Gateway,Alcaldia 1-239,text,false,,155,191,247,247,67,0,26
1485111531776,66,Petición HTTP,502,Bad Gateway,Alcaldia 1-240,text,false,,155,191,245,245,66,0,24
1485111531785,62,Petición HTTP,502,Bad Gateway,Alcaldia 1-244,text,false,,155,191,248,248,62,0,28
